Age,Annual_Income,Total_Debt,FICO_Score,Education,Employment,Max_Loan_Amount,Loan_Default
41.0,9900.0,2830.179951162033,520,High School,,13000.0,1
67.0,16500.0,3151.2105374542384,677,High School,Employed,31900.0,0
49.0,34700.0,10181.724841904646,515,High School,Self-Employed,44600.0,1
64.0,46700.0,24084.770241640592,593,Bachelor,Employed,47300.0,1
39.0,34200.0,12154.024134194204,625,High School,Self-Employed,48600.0,0
40.0,25800.0,10753.240403101514,764,Bachelor,Employed,40600.0,0
19.0,28700.0,6279.629044755276,751,Bachelor,Unemployed,59400.0,1
44.0,82600.0,36600.35133898131,585,Bachelor,Employed,95000.0,1
59.0,28800.0,11519.143226715554,628,Master,Employed,38300.0,1
19.0,103700.0,7439.147500132952,490,Bachelor,Employed,166500.0,1
43.0,58500.0,20099.76414435702,446,Bachelor,Self-Employed,60400.0,1
34.0,47800.0,7363.403474163859,527,High School,Employed,75200.0,0
57.0,17700.0,8539.496011508756,762,Bachelor,Self-Employed,24600.0,0
,63600.0,16253.782955098408,728,Master,Employed,121700.0,0
,27000.0,16113.883476183091,688,High School,Self-Employed,26400.0,0
60.0,17700.0,982.3546509117954,504,High School,,29700.0,1
65.0,49400.0,23129.510651618297,578,High School,Employed,53600.0,0
56.0,15800.0,6386.692433979643,564,Bachelor,,18700.0,1
46.0,23000.0,10591.483862151736,633,Bachelor,Employed,27700.0,0
59.0,36100.0,6661.095370323284,627,Bachelor,Employed,65100.0,1
43.0,,40594.49537404804,549,High School,Retired,187800.0,1
52.0,24000.0,11469.7226840214,684,Master,Retired,30200.0,0
67.0,27600.0,3850.8844516413587,672,High School,Self-Employed,56300.0,0
42.0,56400.0,7648.963379327985,577,High School,Employed,99300.0,1
41.0,17300.0,5719.908895201397,680,Bachelor,Employed,27800.0,0
30.0,47400.0,14890.148201829097,762,High School,Self-Employed,87400.0,0
24.0,74900.0,12684.875420357203,792,High School,Employed,173900.0,0
53.0,,5401.130787509788,699,High School,Retired,61200.0,0
62.0,,11202.71698048872,696,Bachelor,Employed,137600.0,0
37.0,43300.0,20043.88337072071,625,Master,Retired,51300.0,0
18.0,23400.0,9152.688152496947,752,Master,Employed,37800.0,0
25.0,32300.0,16132.245014490696,542,Bachelor,Self-Employed,30900.0,1
63.0,28900.0,16914.702310965138,741,High School,Employed,31300.0,0
33.0,34500.0,9815.200932830117,621,Bachelor,Unemployed,54100.0,1
31.0,39800.0,1592.6498879621186,799,Bachelor,Employed,107700.0,0
29.0,51700.0,1491.823468981339,708,High School,Self-Employed,125500.0,0
68.0,49300.0,8745.771861654493,643,High School,Unemployed,92000.0,0
,8400.0,4700.024730336352,626,High School,Employed,8200.0,0
32.0,34300.0,10767.724671300604,702,Bachelor,Employed,58300.0,0
45.0,14700.0,2397.157071826739,697,High School,Employed,30300.0,0
51.0,,7376.602362563641,610,Master,Employed,50400.0,1
19.0,33700.0,12103.593071722444,659,High School,,50200.0,0
49.0,65200.0,25543.390626352386,739,High School,Employed,103400.0,1
40.0,35700.0,3296.955899549826,513,Bachelor,Employed,58700.0,1
39.0,42400.0,24855.685851309274,722,Bachelor,Self-Employed,44700.0,0
68.0,58400.0,19088.81883347692,702,High School,Self-Employed,97400.0,0
42.0,75900.0,6179.245992260398,768,High School,Employed,189000.0,0
39.0,33700.0,18069.304822658825,578,High School,Unemployed,31900.0,1
39.0,38400.0,1719.6694520700396,650,High School,Unemployed,84100.0,0
66.0,36500.0,19879.405986587528,670,High School,Employed,39300.0,0
69.0,26200.0,15666.012116862803,723,PhD,Employed,26900.0,0
59.0,22900.0,9623.932920410363,692,Bachelor,Employed,32400.0,0
23.0,9300.0,4299.095493592862,526,Bachelor,,9300.0,1
32.0,19000.0,3845.2523357293444,679,High School,Self-Employed,36300.0,0
60.0,12500.0,7061.826395504503,850,High School,Employed,16300.0,0
54.0,77100.0,24504.568072173086,711,High School,Self-Employed,132000.0,0
50.0,40700.0,17884.92586591229,813,Bachelor,Employed,65500.0,0
25.0,33700.0,18685.45801572607,754,Bachelor,Employed,40000.0,0
61.0,,13808.548459813197,786,High School,Self-Employed,27200.0,0
61.0,37000.0,18497.13671644617,680,Bachelor,Self-Employed,44400.0,0
22.0,21800.0,3963.468991324952,702,Bachelor,Employed,44200.0,0
56.0,40300.0,23371.118950229353,675,High School,Employed,40300.0,0
21.0,42100.0,15866.299359212622,650,High School,Retired,60200.0,0
23.0,21700.0,12116.965042102516,724,Bachelor,Employed,24500.0,0
62.0,21400.0,8681.188531456277,597,Bachelor,Self-Employed,26800.0,1
49.0,64700.0,11927.016498928508,838,High School,Employed,156100.0,0
69.0,,7814.917949896273,557,High School,,53800.0,0
47.0,22700.0,7497.425604142049,731,Bachelor,,39200.0,0
64.0,29100.0,13793.65913363554,787,High School,Employed,42500.0,0
52.0,19800.0,3777.6327099231785,632,Bachelor,Self-Employed,35700.0,0
57.0,34900.0,12139.57061884998,538,Bachelor,Employed,43200.0,1
69.0,59800.0,12401.024769521286,765,High School,Employed,128000.0,0
33.0,35700.0,17473.780647283995,670,High School,Employed,43100.0,0
30.0,150000.0,42005.52843911554,731,Bachelor,Employed,278600.0,0
67.0,46800.0,2154.376978029017,639,High School,,100700.0,0
59.0,41700.0,4154.63408746804,823,High School,Self-Employed,109100.0,0
47.0,21100.0,773.5850920645448,438,Bachelor,Employed,31400.0,0
36.0,31500.0,9436.825679670746,687,High School,Self-Employed,53500.0,0
34.0,22800.0,1454.6942277237474,784,Bachelor,Self-Employed,59100.0,0
36.0,9900.0,677.9914176992147,660,High School,Self-Employed,21500.0,0
45.0,65200.0,36813.80793270131,680,Bachelor,,68100.0,0
43.0,26700.0,13979.934256260409,606,High School,Employed,27200.0,1
54.0,23000.0,6238.79503599685,652,PhD,,38600.0,0
43.0,41200.0,24369.10753141709,482,Bachelor,Unemployed,28600.0,1
40.0,49400.0,5.528694978454696,578,High School,Self-Employed,100800.0,0
26.0,30000.0,11051.630212921087,571,Bachelor,Employed,38200.0,1
29.0,36300.0,13425.805703159329,716,High School,Employed,57800.0,0
18.0,56800.0,15589.659344045791,592,Bachelor,Employed,86100.0,0
18.0,29300.0,6978.345364184868,595,Master,Employed,46900.0,0
64.0,43500.0,11885.499836043859,612,Bachelor,Retired,68300.0,1
51.0,13400.0,3336.281906080631,575,High School,,20400.0,0
49.0,17200.0,7538.682367617329,676,Bachelor,Employed,23100.0,1
65.0,52200.0,4239.332223363256,687,High School,Retired,116300.0,0
42.0,16700.0,1980.344990323124,732,Bachelor,Employed,38000.0,0
57.0,41800.0,4527.397168081983,715,Bachelor,Self-Employed,94100.0,0
62.0,33200.0,5228.414055615589,705,High School,,69600.0,0
18.0,29200.0,9202.52749705334,617,High School,Employed,43500.0,0
33.0,22100.0,1474.6279897047802,610,Bachelor,Employed,44400.0,0
56.0,62700.0,32660.528890183086,562,Bachelor,,59600.0,1
22.0,102500.0,18287.734175471047,561,High School,Employed,166700.0,1
39.0,43500.0,4242.241472933275,669,High School,Employed,92700.0,0
46.0,44100.0,17876.939851969517,578,Bachelor,Self-Employed,53500.0,0
20.0,24100.0,550.7279066661567,796,High School,,66200.0,0
29.0,17700.0,6584.066158963624,646,High School,Employed,25300.0,0
43.0,35500.0,14871.626573409445,800,High School,Employed,58200.0,0
33.0,20200.0,2604.788360407036,707,High School,Employed,43900.0,0
68.0,12500.0,314.73055082725716,572,Bachelor,,24600.0,1
54.0,58800.0,12829.408262678182,643,PhD,Self-Employed,104300.0,0
39.0,,3584.88621159681,482,Bachelor,Retired,97000.0,1
46.0,21700.0,1516.5416027468486,669,High School,Self-Employed,47700.0,0
31.0,42000.0,6407.383032410587,581,Bachelor,Employed,73000.0,0
45.0,66200.0,11735.985966174878,538,Bachelor,Unemployed,103400.0,1
22.0,41100.0,13069.068609588232,802,High School,Employed,79300.0,0
64.0,17700.0,7204.521824041999,753,Master,Employed,27900.0,0
66.0,,11238.937038898703,750,Bachelor,,53900.0,0
47.0,80500.0,7165.804291083661,728,PhD,Employed,188400.0,0
63.0,42100.0,4346.893179753344,526,Bachelor,Self-Employed,70100.0,1
69.0,50200.0,26468.529803762583,609,Bachelor,Employed,51000.0,1
22.0,44600.0,14941.50795111568,616,High School,Employed,64500.0,0
29.0,21700.0,11326.59058432791,479,Bachelor,Employed,17500.0,1
,25000.0,5573.197669798115,594,High School,Employed,40700.0,0
43.0,44500.0,16404.480198416346,595,Master,Employed,59000.0,0
43.0,59300.0,18631.94434322305,662,Bachelor,Self-Employed,95000.0,0
65.0,70300.0,13460.628800627112,850,Master,Employed,170500.0,0
38.0,21700.0,6118.298143877411,647,Bachelor,Unemployed,35600.0,0
56.0,47100.0,14200.3921791291,662,Master,Employed,76900.0,0
53.0,74000.0,8914.231279196529,624,High School,Employed,143300.0,0
50.0,20100.0,3799.0250908633825,723,Bachelor,Self-Employed,41600.0,0
47.0,88600.0,42071.342336950824,542,Bachelor,Unemployed,89000.0,1
54.0,97100.0,53353.82283059744,839,Bachelor,Employed,129500.0,0
,175400.0,37864.73040470731,637,Bachelor,,309200.0,1
27.0,41700.0,7680.446500869635,610,High School,Retired,73200.0,0
22.0,41900.0,4907.256717337126,747,High School,Retired,97500.0,0
53.0,59600.0,24262.844190944787,560,Master,Self-Employed,69800.0,0
51.0,58600.0,11360.185510588419,721,Bachelor,Self-Employed,120200.0,0
69.0,71400.0,42315.190255009235,790,High School,Employed,81100.0,0
48.0,58100.0,11353.37219994941,625,Bachelor,Unemployed,103100.0,0
27.0,34100.0,8064.023517172572,850,Master,,78100.0,0
36.0,75600.0,27367.2391401779,714,High School,Retired,121500.0,0
49.0,19100.0,9187.301999972355,715,Master,Employed,25000.0,0
18.0,36400.0,10254.28765114864,786,Master,Employed,72500.0,0
22.0,92800.0,23533.4879613692,813,Master,Employed,198800.0,0
62.0,17200.0,10274.982442698421,676,Master,Employed,16500.0,0
21.0,24200.0,152.3676693519933,729,Bachelor,Employed,61900.0,0
33.0,54300.0,29161.227110773587,789,High School,Employed,70000.0,0
41.0,46000.0,4116.286795936753,533,High School,,78800.0,1
33.0,21500.0,10138.436063094981,477,High School,Self-Employed,19100.0,1
19.0,28300.0,10492.47788619014,644,Bachelor,Employed,40500.0,0
66.0,17900.0,3671.4398462495087,474,High School,Self-Employed,23800.0,1
45.0,65400.0,34290.85325464476,618,High School,Employed,67900.0,1
49.0,31100.0,240.84887412531026,681,High School,Employed,74200.0,0
44.0,106400.0,14471.931228463127,622,High School,Self-Employed,201800.0,0
37.0,38100.0,12959.169322264392,635,Master,Unemployed,56300.0,0
41.0,31800.0,6707.426321748238,549,High School,Employed,48600.0,1
29.0,30000.0,10986.794915729897,728,Bachelor,Employed,48900.0,0
67.0,31400.0,454.236043819283,543,Bachelor,Employed,59300.0,1
52.0,38800.0,2711.163901614267,439,High School,Employed,55900.0,1
,164000.0,12506.27003749442,629,Master,Employed,336300.0,0
50.0,29600.0,3361.6775514683272,741,Bachelor,Retired,68600.0,0
68.0,30200.0,8323.085707305836,657,High School,Unemployed,50700.0,1
60.0,37800.0,17058.278905648196,533,High School,Self-Employed,39000.0,1
,69900.0,37978.29886273811,660,High School,Employed,74400.0,0
29.0,15500.0,7768.964531643489,693,High School,Self-Employed,18900.0,0
20.0,47700.0,5634.930890220063,659,High School,Employed,97800.0,0
18.0,22200.0,5876.1253557120235,623,Bachelor,Employed,35900.0,1
50.0,50600.0,6054.136107949123,698,Master,Employed,109700.0,0
57.0,27000.0,4284.44343000849,476,Bachelor,Self-Employed,38200.0,1
27.0,9100.0,2749.366519054898,560,High School,Retired,12600.0,1
60.0,45300.0,1851.2032919853427,519,High School,Employed,79600.0,1
61.0,45100.0,5903.797358793972,784,Bachelor,Employed,108500.0,0
46.0,25700.0,14423.531247355746,721,High School,Employed,28700.0,0
30.0,24800.0,6935.810434758316,668,High School,Unemployed,42100.0,1
29.0,16500.0,4409.326607180935,504,Master,Employed,21500.0,1
48.0,57700.0,504.31489748927544,724,High School,Employed,146200.0,0
63.0,61700.0,9158.73863609996,788,Master,Self-Employed,146100.0,0
19.0,21400.0,11123.194878011207,707,High School,Employed,25600.0,0
68.0,26300.0,2597.8365979217924,646,PhD,Employed,54000.0,0
67.0,35000.0,8717.623730229141,713,Bachelor,Employed,66100.0,0
52.0,141800.0,1219.2734711644666,677,Bachelor,Self-Employed,335900.0,0
40.0,50400.0,14464.864965717608,742,High School,Employed,94100.0,0
34.0,20600.0,259.82087913604397,740,Master,Retired,53100.0,0
43.0,43600.0,21440.985908201324,627,Master,Self-Employed,49000.0,0
25.0,15900.0,7869.104941826968,583,Bachelor,Employed,16500.0,0
,55900.0,26420.872995661484,610,Bachelor,Employed,63500.0,1
43.0,99200.0,16865.829380399355,703,Bachelor,,204300.0,0
27.0,99500.0,49983.06192784253,616,High School,Employed,107700.0,1
43.0,56400.0,18375.05680736231,574,Bachelor,Retired,77000.0,1
51.0,,5741.692552197157,649,Master,Unemployed,45500.0,1
68.0,16600.0,6228.286398654161,760,High School,Employed,27800.0,0
58.0,15700.0,116.25265388872313,663,High School,Employed,36500.0,0
24.0,6700.0,574.7027279550236,622,Bachelor,Employed,13400.0,0
21.0,55100.0,24540.224371908887,682,Bachelor,Employed,73600.0,0
67.0,34100.0,4995.54651433249,658,High School,Employed,67600.0,0
62.0,62700.0,22497.10299390756,456,High School,Employed,64700.0,1
28.0,85500.0,19755.76352482142,719,High School,Retired,166800.0,0
46.0,38600.0,19797.301836990893,690,Bachelor,Employed,45800.0,0
53.0,39600.0,22629.38767048025,651,High School,Employed,39000.0,0
42.0,27500.0,14578.818018108139,756,Bachelor,Unemployed,34500.0,1
38.0,29500.0,4789.973906076661,771,High School,Employed,67200.0,0
53.0,56200.0,6547.171944233894,729,Bachelor,Employed,127800.0,0
27.0,32700.0,9308.41261283882,564,PhD,Employed,46600.0,0
54.0,30000.0,132.01471505124496,568,High School,Employed,59900.0,0
26.0,35900.0,555.9343222729345,761,High School,Retired,94900.0,0
41.0,61800.0,20516.01691722084,462,Master,Retired,67300.0,1
52.0,24000.0,7494.471419980117,635,High School,Retired,37000.0,1
66.0,34900.0,20826.546850398343,693,High School,Unemployed,34400.0,0
52.0,42100.0,5098.52476128853,474,Master,Employed,61900.0,1
65.0,72800.0,11273.97962572926,673,PhD,Retired,146100.0,0
53.0,31500.0,2145.918139966818,745,Bachelor,Retired,77200.0,0
35.0,23600.0,12992.409016697024,501,High School,Employed,18800.0,1
66.0,,12693.879509561915,815,High School,Employed,41700.0,0
56.0,68300.0,33699.45678750161,549,High School,Employed,67000.0,1
49.0,123000.0,66623.96755178075,707,Bachelor,Employed,140700.0,0
41.0,16500.0,5196.509868585798,641,Bachelor,Employed,25600.0,0
40.0,18800.0,5089.459199564162,656,Master,Retired,31700.0,1
49.0,32800.0,6502.104201739332,521,High School,Retired,48400.0,1
54.0,38800.0,13716.916222018075,776,Bachelor,Employed,68700.0,0
29.0,58200.0,15863.4016159006,682,High School,Employed,101900.0,0
66.0,21300.0,5771.00819681925,812,High School,Unemployed,44500.0,0
30.0,19200.0,10793.40899018272,524,Bachelor,Self-Employed,15500.0,1
40.0,39500.0,23321.54688841538,631,High School,Employed,36000.0,0
42.0,31100.0,14862.398704889976,670,Bachelor,Self-Employed,38400.0,1
52.0,63300.0,28741.672267578335,656,Bachelor,Unemployed,80000.0,1
58.0,48700.0,19885.909487185345,716,PhD,Retired,72800.0,0
47.0,50700.0,5051.9970079854875,630,Bachelor,Employed,101500.0,1
34.0,34100.0,1209.3050951158916,850,Master,Employed,98700.0,0
66.0,149200.0,61833.819728939314,653,Bachelor,Retired,201400.0,0
37.0,22000.0,9619.978133786803,361,High School,Employed,15800.0,1
65.0,52400.0,1476.8308401255151,658,Bachelor,Self-Employed,118300.0,0
42.0,17000.0,9466.12785233425,776,Bachelor,Employed,20600.0,0
39.0,19100.0,1044.4717280360046,557,Bachelor,Employed,35500.0,1
30.0,25200.0,4322.81607062058,551,Bachelor,Employed,40600.0,0
36.0,96500.0,38931.370161044986,565,High School,Employed,114800.0,1
66.0,42500.0,4331.751157314146,542,High School,Retired,73000.0,1
53.0,25500.0,847.8630931663397,602,High School,Employed,52400.0,0
29.0,45500.0,9040.299154181288,740,Bachelor,Unemployed,95200.0,1
58.0,37100.0,17050.527256276284,802,Bachelor,Unemployed,56800.0,0
36.0,,6701.594599561217,407,Bachelor,,29200.0,1
29.0,,6151.004924372789,612,High School,Self-Employed,20600.0,1
26.0,86100.0,29943.12256280554,680,High School,Employed,134800.0,0
24.0,41200.0,549.2408756723477,670,Bachelor,,96100.0,1
45.0,133800.0,79359.99016002932,839,Bachelor,Employed,161200.0,0
31.0,63800.0,1585.867240006163,448,Bachelor,Employed,98400.0,1
48.0,50600.0,29382.491115008,391,Bachelor,,29300.0,1
69.0,28000.0,9237.71819652189,850,High School,Self-Employed,56300.0,0
36.0,18800.0,10864.433825293949,725,Bachelor,,20300.0,0
64.0,31900.0,2196.3838927808106,592,Master,Employed,62100.0,0
33.0,18500.0,5443.534562959196,667,Bachelor,Employed,30700.0,1
22.0,53600.0,5451.251594412445,674,Bachelor,Employed,114500.0,0
52.0,96700.0,2957.5623648421088,590,Bachelor,Unemployed,195200.0,1
29.0,31100.0,11523.093287062733,664,Bachelor,Employed,45900.0,0
42.0,64000.0,7978.883364928951,685,Bachelor,Self-Employed,135400.0,0
69.0,24000.0,8462.837063340661,850,Bachelor,Employed,46600.0,0
38.0,30300.0,2042.7862818325589,746,Bachelor,Employed,74400.0,0
53.0,22300.0,4441.978987769563,823,High School,Unemployed,51900.0,0
40.0,,4736.6933018026775,515,PhD,Self-Employed,9700.0,1
33.0,35500.0,9309.197415238597,615,Bachelor,Self-Employed,56800.0,1
56.0,39200.0,14764.57215838535,674,High School,Employed,58100.0,0
62.0,68800.0,26727.06379397614,457,Bachelor,Unemployed,67900.0,1
59.0,58500.0,29615.802043954005,768,High School,Employed,78300.0,0
56.0,59000.0,11502.266921995102,714,High School,Retired,119700.0,0
31.0,20200.0,8330.022218500113,613,High School,Employed,25700.0,0
48.0,47800.0,27579.141346084027,631,Bachelor,Employed,45000.0,0
22.0,93900.0,41141.909457722286,775,Master,Employed,144300.0,0
52.0,45600.0,13402.856242997488,570,Bachelor,Employed,64800.0,1
40.0,108800.0,41173.234776433135,779,Bachelor,Employed,185900.0,0
46.0,122000.0,54144.788116259515,624,Bachelor,Unemployed,149400.0,0
60.0,30900.0,11351.592695964393,725,High School,,50000.0,0
28.0,23900.0,239.13116544429343,658,High School,Retired,54900.0,0
35.0,23000.0,2687.8742680837167,850,Bachelor,Employed,60900.0,0
64.0,14600.0,7099.701582807482,561,Master,Employed,14900.0,1
29.0,26600.0,4351.504331107255,592,Bachelor,Unemployed,46500.0,0
26.0,75000.0,32920.295380251024,499,Bachelor,Employed,74100.0,1
27.0,,2165.7396527066862,540,Master,Employed,14400.0,1
61.0,19500.0,6106.046639447935,721,High School,Unemployed,34100.0,1
34.0,33600.0,1370.3417243591784,810,Bachelor,Employed,92100.0,0
55.0,21500.0,2337.809737541253,732,Bachelor,Employed,49500.0,0
24.0,26500.0,15219.43171995583,649,Bachelor,Unemployed,25800.0,1
63.0,,14260.01161621956,560,High School,Employed,24600.0,1
30.0,31100.0,12171.453569376275,739,Bachelor,Unemployed,49400.0,0
57.0,,6453.410147295752,555,Bachelor,Employed,33200.0,0
59.0,22300.0,9041.686098938095,515,High School,Self-Employed,24100.0,1
26.0,63600.0,23606.168631824712,619,Bachelor,Employed,87400.0,0
67.0,68200.0,23265.158299340725,446,High School,,70700.0,1
44.0,15900.0,564.549265578189,511,Master,Employed,27700.0,1
19.0,6900.0,2619.8028081386387,838,Bachelor,Unemployed,12700.0,0
22.0,68700.0,31694.884237223556,493,Master,Employed,64400.0,1
46.0,17400.0,10378.21247449981,531,High School,Employed,13200.0,0
54.0,41300.0,274.52653328699375,657,High School,Self-Employed,95100.0,1
55.0,14200.0,6221.077822206965,662,High School,,18600.0,0
36.0,79100.0,27137.120934321632,626,High School,Employed,114800.0,1
25.0,167100.0,43518.07117387672,449,High School,Employed,195800.0,1
65.0,40500.0,3099.9552420843124,734,Bachelor,Employed,96900.0,0
,34300.0,8418.972358905752,605,High School,,55300.0,1
18.0,29900.0,6357.526662771267,772,Bachelor,Employed,64100.0,0
,58100.0,10556.649929798952,585,High School,Employed,98200.0,0
69.0,51100.0,22408.769251058886,748,Bachelor,Self-Employed,75700.0,0
34.0,,27874.861236688015,779,Bachelor,Employed,105600.0,0
24.0,24900.0,8799.960159254819,603,Bachelor,Employed,34300.0,1
42.0,44500.0,25062.350514933038,738,PhD,Retired,50600.0,0
62.0,26200.0,5499.710919323032,517,High School,Unemployed,37800.0,1
21.0,19300.0,2823.2264386838788,676,Bachelor,Employed,39300.0,0
53.0,35400.0,13931.386370210006,772,Bachelor,Employed,58500.0,0
23.0,20900.0,2493.1283241550327,701,Bachelor,Retired,45500.0,0
48.0,73400.0,13873.062736358019,850,Bachelor,Employed,178600.0,0
36.0,21700.0,2924.3237697750005,707,Bachelor,Employed,46900.0,0
61.0,45200.0,1875.4447565257533,613,Bachelor,Employed,93700.0,0
56.0,,12561.43089802952,850,Bachelor,Self-Employed,38200.0,0
44.0,42900.0,6551.873574803558,813,PhD,Employed,104300.0,0
27.0,26500.0,7521.137303154028,489,Master,Self-Employed,32800.0,1
43.0,17100.0,444.41470358924056,571,High School,Self-Employed,33600.0,0
36.0,48500.0,20350.778467951914,546,High School,,54200.0,1
56.0,31500.0,6247.602943588896,714,Master,,63600.0,1
20.0,43100.0,19258.89178166337,707,PhD,,59500.0,0
62.0,28100.0,6953.115599488223,706,High School,Employed,52700.0,0
30.0,16400.0,1926.2351670313462,487,High School,Employed,24900.0,1
,69600.0,21430.19143609782,586,Master,Employed,99600.0,1
45.0,56500.0,4424.104571709208,635,Bachelor,Employed,116700.0,1
37.0,,6819.546194833958,467,High School,Employed,31300.0,1
45.0,37900.0,7215.526556541863,562,Bachelor,Employed,60900.0,1
25.0,67900.0,37153.23346029305,785,Master,Employed,85200.0,0
,27600.0,1008.9796316951223,494,Master,Employed,46400.0,1
56.0,30300.0,12617.23658844239,795,Bachelor,Self-Employed,49600.0,0
18.0,42000.0,4605.329382883385,759,Bachelor,Employed,100200.0,0
,27600.0,5283.386430941891,620,High School,Self-Employed,48800.0,1
30.0,60700.0,15133.02217672044,585,Master,Employed,94100.0,0
45.0,,17869.73695889949,733,High School,Employed,38600.0,0
66.0,22700.0,3303.9159839254985,571,Master,Employed,39100.0,1
42.0,,2865.2702238517513,576,High School,Employed,100500.0,1
50.0,18300.0,3499.211851815949,647,Master,Employed,33800.0,1
55.0,121700.0,7643.439368504645,436,High School,Employed,175500.0,1
23.0,93900.0,7245.126019017528,505,Bachelor,Retired,154400.0,0
61.0,49400.0,17008.93172397979,618,High School,Retired,70700.0,0
62.0,47000.0,1717.4345134057116,697,Bachelor,Employed,111400.0,1
49.0,45700.0,848.1247678115807,569,Master,Self-Employed,90100.0,1
62.0,27100.0,11616.373289910292,630,Bachelor,Employed,34400.0,0
64.0,43400.0,9417.290349660798,488,Bachelor,Employed,58500.0,1
38.0,,1572.2068793927708,743,High School,Self-Employed,50700.0,0
33.0,49100.0,7471.432229527005,672,Master,Employed,98700.0,0
38.0,61100.0,23538.89135953895,680,Bachelor,Employed,90100.0,0
28.0,28900.0,4777.804074222359,698,Bachelor,Employed,59400.0,0
54.0,25400.0,7536.5019468350165,657,Bachelor,Employed,41400.0,0
,17500.0,1277.800720630059,601,Bachelor,Employed,34400.0,0
52.0,87100.0,30733.773501260657,762,Bachelor,Employed,151600.0,0
36.0,26700.0,5063.56449516909,665,Bachelor,,50800.0,0
37.0,32200.0,12113.030155094802,633,Bachelor,Employed,44900.0,0
35.0,43500.0,21099.106428134997,649,Master,Self-Employed,51300.0,1
64.0,43000.0,15780.477620261803,647,Master,Employed,62200.0,0
58.0,56800.0,10079.076933238304,632,High School,Self-Employed,104200.0,0
66.0,28900.0,4434.595784847528,694,High School,Self-Employed,59900.0,0
,18300.0,3595.0821268932586,556,High School,Self-Employed,28900.0,1
32.0,16500.0,1629.743081041398,563,High School,Self-Employed,29500.0,0
48.0,25700.0,2793.6699401073092,705,Bachelor,Employed,57000.0,0
18.0,,9725.500553372065,635,Master,Employed,24100.0,0
20.0,30300.0,6994.43824090535,747,High School,Employed,61400.0,0
33.0,,20823.12982405118,690,Bachelor,Retired,143100.0,0
40.0,29000.0,10336.460700862513,594,Master,Employed,39100.0,1
28.0,29000.0,10259.970815636929,707,Master,,46800.0,0
29.0,36000.0,1455.3404248735956,769,Bachelor,Employed,93800.0,0
27.0,28500.0,14219.347446374082,694,Bachelor,Retired,35000.0,0
49.0,34900.0,3713.2180245092914,716,Bachelor,Employed,78800.0,0
33.0,50200.0,21778.917677816025,632,High School,Employed,63400.0,0
25.0,61800.0,28650.640239792414,749,High School,Employed,87600.0,0
55.0,66300.0,28438.703466152456,591,High School,Retired,79000.0,1
29.0,124800.0,43353.846173974394,683,High School,Employed,196300.0,0
41.0,51100.0,447.9118513583485,850,Master,Employed,152000.0,0
45.0,138800.0,30012.07100400485,703,Bachelor,Self-Employed,269900.0,1
25.0,22800.0,8274.203393680109,607,Bachelor,Employed,31100.0,0
45.0,127400.0,29616.777060318855,607,Bachelor,Unemployed,209500.0,0
53.0,28900.0,14972.74137778818,642,High School,Employed,31600.0,1
43.0,30700.0,5688.137911939914,735,Bachelor,Employed,64900.0,1
25.0,,5952.885591061633,664,Master,,65300.0,1
67.0,31900.0,5091.195845793473,585,High School,,55400.0,1
45.0,38200.0,7627.337516581433,584,High School,Employed,63000.0,1
45.0,25600.0,8561.740251865915,665,Bachelor,Employed,40000.0,0
54.0,59800.0,25367.708758500557,654,Bachelor,Unemployed,79500.0,0
58.0,,10375.813591789374,695,Bachelor,Employed,38600.0,0
53.0,53800.0,26073.13122900216,741,Bachelor,Retired,72500.0,0
44.0,90800.0,48264.594474699705,850,Bachelor,Retired,127600.0,0
34.0,29300.0,14346.669564396116,503,High School,Employed,26500.0,0
26.0,58500.0,664.9836584398455,718,High School,Retired,146600.0,0
50.0,50800.0,22430.779224264617,659,Bachelor,Employed,66000.0,0
37.0,140300.0,17543.076107191155,465,Master,Self-Employed,201500.0,1
30.0,26800.0,2137.482926744361,774,PhD,,67400.0,0
45.0,58500.0,22410.956346449657,692,Master,Unemployed,88100.0,1
65.0,13700.0,2628.2890662512523,729,Bachelor,,28500.0,0
46.0,27000.0,925.2980466011807,480,Bachelor,Self-Employed,44200.0,1
30.0,44900.0,3707.7450446918547,627,Bachelor,Retired,91200.0,0
63.0,83800.0,46.731080221642294,542,Master,Employed,160200.0,0
52.0,17400.0,9429.654669478745,850,High School,,23900.0,0
23.0,58200.0,859.6599957360515,764,Bachelor,Unemployed,154600.0,0
35.0,35000.0,4398.571159699732,581,Bachelor,Self-Employed,62800.0,1
68.0,14600.0,3646.461958826068,496,Bachelor,,19200.0,1
22.0,40500.0,8664.683220604904,669,High School,Retired,75200.0,0
64.0,101300.0,55414.6987987585,759,Bachelor,,122900.0,0
42.0,18500.0,447.2072976534174,476,Bachelor,Employed,30300.0,1
19.0,34000.0,10449.180036611853,556,Bachelor,Employed,46200.0,1
27.0,20100.0,8206.58231804395,539,Bachelor,,22600.0,0
47.0,27400.0,15317.114687318413,736,High School,Employed,31400.0,0
67.0,85800.0,31936.71205932916,613,Master,Self-Employed,116500.0,0
62.0,30900.0,14901.622075658079,617,Bachelor,Employed,34800.0,0
22.0,84200.0,4229.7838599470015,667,Bachelor,Employed,188300.0,0
50.0,70600.0,16348.397683288244,562,High School,Employed,107600.0,0
18.0,29200.0,6551.553796073262,505,High School,Employed,40400.0,1
